x	 y	 actual_vals	 errors	 bounded_errors
0.0	0.5	0.5	0.00e+00	0.00e+00
0.2	0.8293	0.8293	1.38e-06	1.09e-05
0.4	1.2141	1.2141	3.37e-06	2.42e-05
0.6	1.6489	1.6489	6.17e-06	4.05e-05
0.8	2.1272	2.1272	1.01e-05	6.04e-05
1.0	2.6409	2.6409	1.53e-05	8.46e-05
1.2	3.18	3.1799	2.25e-05	1.14e-04
1.4	3.7324	3.7324	3.21e-05	1.50e-04
1.6	4.2835	4.2835	4.47e-05	1.95e-04
1.8	4.8152	4.8152	6.15e-05	2.49e-04
2.0	5.3056	5.3055	8.34e-05	3.15e-04
x = 2.0	 y = 0.5	 actual_vals = 0.5	 errors = 0.0	 bounded_errors = 0.0
